ip,state,whois_country,whois_info,shodan_country,shodan_os,shodan_vulns,shodan_bluekeep
118.89.159.168,offline,CN,TencentCloud,CN,,,False
62.234.129.158,offline,CN,TENCENT-CN,CN,,,False
218.90.122.194,patched,CN,CHINANET-JS,CN,,,False
185.125.47.180,vulnerable,RU,RU-ENTERPRISE-CLOUD-20151106,KZ,,,False
39.100.122.170,patched,CN,ALISOFT,CN,,"[u'CVE-2018-19935', u'CVE-2019-9675', u'CVE-2019-9639', u'CVE-2019-9022', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9641', u'CVE-2019-9638', u'CVE-2019-9024', u'CVE-2019-9021', u'CVE-2019-9637']",False
84.241.5.149,vulnerable,IR,SHTL-DSL-THR,,,,False
115.159.159.145,vulnerable,CN,TencentCloud,CN,,,False
88.157.152.110,vulnerable,PT,PT-NOS-20060125,PT,,,False
109.236.84.81,vulnerable,NL,WORLDSTREAM,NL,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2019-0708', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",True
192.144.233.173,patched,CN,TENCENT-CN,CN,,,False
183.235.222.160,vulnerable,CN,CMNET-GUANGDONG,,,,False
168.255.64.151,offline,MX,,,,,False
129.211.47.172,vulnerable,CN,TENCENT-CN,CN,,,False
47.99.109.107,patched,CN,ALISOFT,,,,False
129.211.91.109,vulnerable,CN,TENCENT-CN,CN,,,False
118.25.141.231,patched,CN,TENCENT-CN,CN,,,False
85.98.33.82,vulnerable,TR,TurkTelekom,TR,,[u'CVE-2019-0708'],True
69.58.121.46,vulnerable,US,BRESCOBROADBAND-NET,US,,,False
106.53.25.78,patched,CN,TencentCloud,,,,False
189.90.124.96,vulnerable,BR,152248,BR,,,False
213.148.95.93,offline,TR,TR-TEBWEB4,,,,False
122.14.196.117,patched,CN,ZLLX,CN,,,False
46.33.169.62,offline,FR,HOSTING-CLIENT2,FR,,,False
46.33.189.74,offline,FR,HOSTING-CLIENT3,,,,False
152.249.233.48,patched,BR,340981,BR,,,False
121.204.130.4,patched,CN,FUJIAN-XIAMEN-BTL-FJ,CN,,,False
180.166.95.146,vulnerable,CN,CHINANET-SH,CN,,[u'CVE-2019-0708'],True
129.28.60.187,vulnerable,CN,TENCENT-CN,CN,,,False
120.77.240.208,vulnerable,CN,ALISOFT,,,,False
18.205.239.176,vulnerable,US,AT-88-Z,,,,False
103.68.194.60,vulnerable,CN,VPSQUANCN2-HK,CN,,,False
39.99.149.128,vulnerable,CN,Cloud-Sense_DHCP,CN,,,False
150.242.99.90,vulnerable,CN,kaopy,CN,,,False
148.70.91.253,vulnerable,CN,TENCENT-CN,,,,False
101.132.168.81,vulnerable,CN,ALISOFT,,,,False
185.56.43.80,vulnerable,GB,UK-BOUNDLESS-20140430,GB,,[u'CVE-2019-0708'],True
115.126.79.143,vulnerable,HK,FTG-BB-HA20,HK,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
101.99.163.134,vulnerable,GU,KUENTOS-GU,GU,,,False
114.98.226.214,patched,CN,CHINANET-AH,,,,False
139.155.125.244,offline,CN,TencentCloud,CN,,,False
218.0.58.134,patched,CN,CHINANET-ZJ,CN,,,False
87.251.168.194,vulnerable,RU,SuperMarketStars,RU,,[u'CVE-2019-0708'],True
39.100.52.154,patched,CN,ALISOFT,CN,,,False
203.195.199.212,vulnerable,CN,TencentCloud,CN,,,False
39.98.40.113,patched,CN,Cloud-Sense_DHCP,CN,,"[u'CVE-2019-0220', u'CVE-2019-0197', u'CVE-2019-0196', u'CVE-2017-9798', u'CVE-2019-0211', u'CVE-2017-15710', u'CVE-2018-1283', u'CVE-2017-15715', u'CVE-2018-1333', u'CVE-2018-17199', u'CVE-2018-11763', u'CVE-2018-1312']",False
49.232.100.46,vulnerable,CN,TencentCloud,CN,,,False
92.26.86.29,vulnerable,GB,OPAL-DSL,GB,,,False
118.24.211.62,patched,CN,TENCENT-CN,CN,,,False
149.129.70.210,patched,SG,ALICLOUD-HK,,,,False
172.93.201.141,vulnerable,US,CHI1-172-93-192-0-20,US,,[u'CVE-2019-0708'],True
111.231.26.74,vulnerable,CN,TencentCloud,CN,,,False
37.53.88.6,patched,UA,UKRTELNET-ADSL,UA,,,False
212.150.146.61,vulnerable,IL,Kineret,IL,,,False
188.131.206.233,vulnerable,CN,TENCENT-CN,CN,,,False
185.228.82.229,vulnerable,NL,DediSpot,NL,,[u'CVE-2019-0708'],True
103.115.58.237,vulnerable,CN,Nvzhenren,CN,,,False
72.8.145.90,offline,US,STAMINUS-COMMUNICATIONS,,,,False
47.93.198.227,patched,CN,ALISOFT,,,,False
182.143.88.29,offline,CN,CHINANET-SC,CN,,,False
140.143.46.138,vulnerable,CN,TencentCloud,CN,,,False
216.243.133.34,vulnerable,US,GREENCLOUD-008,US,,,False
121.224.115.40,patched,CN,CHINANET-JS,CN,,,False
129.211.80.215,vulnerable,CN,TENCENT-CN,CN,,,False
49.235.141.11,patched,CN,TencentCloud,CN,,,False
49.234.142.249,offline,CN,TencentCloud,CN,,,False
64.183.74.60,patched,US,NET-64-183-74-56-1,US,,,False
82.166.156.202,vulnerable,IL,IL-NETVISION-20030806,IL,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2019-0708', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",True
5.152.182.78,vulnerable,GB,MMI-A-1,US,,"[u'CVE-2008-1446', u'CVE-2009-2521', u'CVE-2010-1899', u'CVE-2009-3555', u'CVE-2008-0074', u'CVE-2010-1256']",False
195.68.186.166,patched,RU,RU-EDN-SOVINTEL-FTTB-B2B-clients-IP-pool-NET,RU,,[u'CVE-2019-0708'],True
106.75.182.91,vulnerable,CN,UCLOUD-NET,CN,,,False
125.91.16.130,patched,CN,CHINANET-GD,CN,,,False
47.56.189.25,patched,US,ALICLOUD-HK,,,,False
129.211.60.248,patched,CN,TENCENT-CN,,,,False
124.248.151.157,patched,JP,KIR,JP,,"[u'CVE-2017-7269', u'CVE-2009-4444', u'CVE-2003-1582', u'CVE-2005-2089', u'CVE-2007-2897', u'CVE-2019-0708', u'CVE-2006-0026', u'CVE-2009-2521', u'CVE-2008-1446', u'CVE-2009-1535', u'CVE-2005-2678', u'CVE-2008-0074', u'CVE-2008-0075', u'CVE-2010-1256', u'CVE-2009-3023', u'CVE-2007-1278', u'CVE-2003-0718', u'CVE-2010-1899']",True
68.222.214.27,patched,US,BELLSNET-BLK11,US,,[u'CVE-2019-0708'],True
223.247.209.198,patched,CN,CHINANET-AH,CN,,,False
115.28.38.144,patched,CN,ALISOFT,CN,,"[u'CVE-2017-7269', u'CVE-2009-4444', u'CVE-2003-1582', u'CVE-2005-2089', u'CVE-2007-2897', u'CVE-2009-1535', u'CVE-2006-0026', u'CVE-2009-2521', u'CVE-2008-1446', u'CVE-2007-1278', u'CVE-2005-2678', u'CVE-2008-0074', u'CVE-2008-0075', u'CVE-2010-1256', u'CVE-2009-3023', u'CVE-2003-0718', u'CVE-2010-1899']",False
66.42.74.21,vulnerable,US,NET-66-42-74-0-23,,,,False
140.246.86.217,patched,CN,CHINANET-SD,CN,,,False
74.220.145.168,patched,US,ILAND-NET-74-220-144-0-19,US,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
54.183.73.165,vulnerable,US,AMAZON-2011L,US,,,False
168.255.187.75,offline,MX,,,,,False
119.28.54.163,vulnerable,CN,TencentCloud,HK,,,False
182.16.77.92,vulnerable,HK,SIMCENTRIC-HK182016077,HK,,"[u'CVE-2018-10549', u'CVE-2018-5712', u'CVE-2018-5711', u'CVE-2018-10545', u'CVE-2018-10547', u'CVE-2018-10546', u'CVE-2019-9641', u'CVE-2019-11036', u'CVE-2017-12934', u'CVE-2017-11628', u'CVE-2018-1312', u'CVE-2017-12933', u'CVE-2017-12932', u'CVE-2014-0098', u'CVE-2018-10548', u'CVE-2018-7584', u'CVE-2018-19396', u'CVE-2018-19395', u'CVE-2017-7890', u'CVE-2017-11145', u'CVE-2017-11144', u'CVE-2018-19935', u'CVE-2019-9675', u'CVE-2016-4975', u'CVE-2019-9640', u'CVE-2018-17082', u'CVE-2013-5704', u'CVE-2019-9639', u'CVE-2019-9638', u'CVE-2017-7668', u'CVE-2013-6438', u'CVE-2012-2687', u'CVE-2019-9637', u'CVE-2017-7679', u'CVE-2019-11040', u'CVE-2012-4558', u'CVE-2018-20783', u'CVE-2012-3499', u'CVE-2019-0708', u'CVE-2018-14884', u'CVE-2018-14883', u'CVE-2013-2249', u'CVE-2019-11039', u'CVE-2019-6977', u'CVE-2013-1896', u'CVE-2017-3167', u'CVE-2017-3169', u'CVE-2017-11362', u'CVE-2016-8612', u'CVE-2018-14851', u'CVE-2019-11038', u'CVE-2014-0231', u'CVE-2013-1862', u'CVE-2018-19518', u'CVE-2019-11035', u'CVE-2019-11034', u'CVE-2019-9022', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2017-16642', u'CVE-2019-9024', u'CVE-2018-15132']",True
132.232.165.165,vulnerable,CN,TENCENT-CN,CN,,,False
34.66.119.236,patched,US,GOOGL-2,US,,,False
27.98.207.52,patched,HK,NET-SYS-AS-AP,HK,,,False
188.131.199.21,vulnerable,CN,TENCENT-CN,CN,,,False
183.77.235.71,patched,JP,ASAHI-NET,JP,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
47.75.184.57,patched,US,ALICLOUD-HK,CN,Windows Server 2008 R2 Enterprise 7601 Service Pack 1,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
175.24.134.161,patched,CN,TencentCloud,CN,,,False
103.82.54.15,patched,CN,BSYNTCL-CN,,,,False
101.91.185.67,patched,CN,CHINANET-SH,CN,,,False
38.67.136.121,vulnerable,US,COGENT-A,US,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
18.233.8.125,vulnerable,US,AT-88-Z,US,,,False
186.233.216.81,patched,BR,266036,BR,,[u'CVE-2019-0708'],True
84.1.159.4,patched,HU,COMBRIDGE-CUSTOMER-TEMPORARY,HU,,,False
62.234.11.171,vulnerable,CN,TENCENT-CN,CN,,,False
39.105.19.228,patched,CN,ALISOFT,,,,False
116.231.91.99,vulnerable,CN,CHINANET-SH,CN,,,False
106.12.126.91,patched,CN,Baidu,CN,,,False
198.46.238.66,offline,US,CC-198-46-238-0-26,US,,,False
27.155.101.199,offline,CN,CHINANET-FJ,,,,False
13.92.178.64,offline,US,MSFT,US,,,False
54.36.196.153,patched,FR,OVH_167868846,,,,False
47.176.38.249,vulnerable,US,FCC-212,US,,[u'CVE-2019-0708'],True
113.69.138.243,patched,CN,CHINANET-GD,CN,,,False
18.217.186.8,vulnerable,US,AT-88-Z,US,,,False
168.255.59.15,offline,MX,,,,,False
65.165.24.221,patched,US,SPRINTLINK,US,,"[u'CVE-2017-7269', u'CVE-2009-4444', u'CVE-2003-1582', u'CVE-2005-2089', u'CVE-2007-2897', u'CVE-2019-0708', u'CVE-2006-0026', u'CVE-2009-2521', u'CVE-2008-1446', u'CVE-2009-1535', u'CVE-2005-2678', u'CVE-2008-0074', u'CVE-2008-0075', u'CVE-2010-1256', u'CVE-2009-3023', u'CVE-2007-1278', u'CVE-2003-0718', u'CVE-2010-1899']",True
60.251.178.37,vulnerable,TW,HINET-NET,,,,False
213.148.83.224,offline,TR,TR-TEBWEB3,,,,False
114.98.226.20,patched,CN,CHINANET-AH,CN,,,False
201.251.62.247,patched,AR,,,,,False
156.54.12.73,vulnerable,IT,TEAMSYSTEM-SPA,IT,,[u'CVE-2019-0708'],True
203.124.46.52,vulnerable,PK,COMSATS,,,,False
129.211.34.83,vulnerable,CN,TENCENT-CN,CN,,,False
20.40.97.116,vulnerable,US,MSFT,JP,,,False
119.28.116.119,vulnerable,CN,TencentCloud,SG,,,False
49.235.32.245,vulnerable,CN,TencentCloud,CN,,,False
115.221.119.209,patched,CN,CHINANET-ZJ-WZ,CN,,,False
49.50.76.144,patched,IN,CYFUTURE-IN,IN,,"[u'CVE-2018-15919', u'CVE-2016-1907', u'CVE-2017-15906', u'CVE-2016-8858', u'CVE-2015-5352', u'CVE-2015-6565', u'CVE-2016-10708', u'CVE-2016-0777', u'CVE-2016-0778']",False
82.2.125.53,vulnerable,GB,VMCBBUK,GB,,,False
129.28.88.93,vulnerable,CN,TENCENT-CN,CN,,,False
47.52.21.227,patched,US,ALICLOUD-HK,HK,,,False
106.52.19.17,vulnerable,CN,TencentCloud,CN,,,False
147.91.202.156,vulnerable,RS,UNINET-BG,RS,,[u'CVE-2019-0708'],True
121.204.199.230,patched,CN,CHINANET-FJ,,,,False
47.75.149.120,vulnerable,US,ALICLOUD-HK,CN,,"[u'CVE-2018-10549', u'CVE-2018-10548', u'CVE-2018-10545', u'CVE-2018-10547', u'CVE-2018-10546', u'CVE-2019-9641', u'CVE-2019-9024', u'CVE-2010-1256', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2018-19395', u'CVE-2018-19935', u'CVE-2018-17082', u'CVE-2019-9639', u'CVE-2019-9638', u'CVE-2010-3972', u'CVE-2019-9637', u'CVE-2017-16642', u'CVE-2018-14883', u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2018-20783', u'CVE-2019-6977', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2018-15132']",False
168.255.235.223,offline,MX,,,,,False
39.98.108.134,patched,CN,Cloud-Sense_DHCP,CN,,,False
203.110.160.34,patched,CN,SHTEL-STD,CN,,,False
200.194.36.27,vulnerable,MX,,MX,,"[u'CVE-2017-7269', u'CVE-2009-4444', u'CVE-2003-1582', u'CVE-2005-2089', u'CVE-2007-2897', u'CVE-2009-1535', u'CVE-2006-0026', u'CVE-2009-2521', u'CVE-2008-1446', u'CVE-2007-1278', u'CVE-2005-2678', u'CVE-2008-0074', u'CVE-2008-0075', u'CVE-2010-1256', u'CVE-2009-3023', u'CVE-2003-0718', u'CVE-2010-1899']",False
47.92.206.166,patched,CN,ALISOFT,CN,,,False
203.86.255.52,patched,CN,CHINANET-FJ,,,,False
60.184.186.13,offline,CN,CHINANET-ZJ-LS,CN,,"[u'CVE-2008-1483', u'CVE-2007-3102', u'CVE-2011-5000', u'CVE-2017-15906', u'CVE-2019-0708', u'CVE-2010-5107', u'CVE-2007-4752', u'CVE-2010-4478', u'CVE-2016-10708', u'CVE-2007-2243', u'CVE-2008-3259', u'CVE-2014-1692', u'CVE-2011-4327', u'CVE-2010-4755', u'CVE-2008-4109', u'CVE-2012-0814']",True
91.176.161.214,vulnerable,BE,BE-BELGACOM-ADSL1,BE,,[u'CVE-2019-0708'],True
140.246.138.25,patched,CN,CHINANET-SD,CN,,,False
120.78.191.16,vulnerable,CN,ALISOFT,CN,,,False
90.155.115.82,vulnerable,GB,NOV-ORM11,GB,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
13.58.46.14,vulnerable,US,AT-88-Z,US,,[u'CVE-2019-0708'],True
124.156.187.248,patched,SG,ACEVILLEPTELTD-SG,HK,,[u'CVE-2019-0708'],True
36.40.84.154,patched,CN,CHINANET-SN,CN,,,False
203.189.218.158,patched,CN,CHINANET-GD,CN,,,False
120.26.9.33,patched,CN,ALISOFT,CN,Windows 7 or 8,"[u'CVE-2016-8612', u'CVE-2014-0231', u'CVE-2017-7679', u'CVE-2013-2249', u'CVE-2014-0098', u'CVE-2017-3167', u'CVE-2018-1312', u'CVE-2013-6438', u'CVE-2017-7668', u'CVE-2017-3169', u'CVE-2016-4975']",False
60.248.115.76,patched,TW,HINET-NET,TW,,"[u'CVE-2018-10549', u'CVE-2014-5459', u'CVE-2018-10545', u'CVE-2018-10547', u'CVE-2018-10546', u'CVE-2018-17082', u'CVE-2011-0755', u'CVE-2013-1635', u'CVE-2019-9638', u'CVE-2011-4885', u'CVE-2014-0098', u'CVE-2011-3368', u'CVE-2018-10548', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2016-7478', u'CVE-2011-3607', u'CVE-2012-2376', u'CVE-2011-1092', u'CVE-2012-2143', u'CVE-2019-9023', u'CVE-2012-2336', u'CVE-2014-2497', u'CVE-2012-1171', u'CVE-2019-9639', u'CVE-2013-4635', u'CVE-2011-0708', u'CVE-2011-4317', u'CVE-2011-1468', u'CVE-2011-1469', u'CVE-2011-0421', u'CVE-2012-2688', u'CVE-2013-4248', u'CVE-2010-4699', u'CVE-2011-1467', u'CVE-2011-1464', u'CVE-2017-16642', u'CVE-2013-2110', u'CVE-2018-20783', u'CVE-2011-4415', u'CVE-2011-1466', u'CVE-2018-14883', u'CVE-2013-2249', u'CVE-2018-19395', u'CVE-2019-6977', u'CVE-2013-6438', u'CVE-2012-0057', u'CVE-2019-9641', u'CVE-2012-2386', u'CVE-2006-7243', u'CVE-2011-4718', u'CVE-2012-1172', u'CVE-2016-8612', u'CVE-2014-0237', u'CVE-2015-8994', u'CVE-2012-1823', u'CVE-2018-19935', u'CVE-2019-9637', u'CVE-2014-9427', u'CVE-2012-2311', u'CVE-2014-0238', u'CVE-2010-3870', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2012-0789', u'CVE-2012-0788', u'CVE-2019-9024', u'CVE-2012-3365', u'CVE-2011-1470', u'CVE-2018-15132', u'CVE-2011-3192', u'CVE-2013-1643']",False
18.225.34.73,vulnerable,US,AT-88-Z,US,Windows 7 or 8,[u'CVE-2019-0708'],True
39.108.2.230,patched,CN,ALISOFT,,,,False
197.51.46.70,vulnerable,EG,,EG,,[u'CVE-2019-0708'],True
140.246.228.169,patched,CN,CHINANET-SD,CN,,,False
115.29.19.190,vulnerable,CN,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",False
140.246.80.124,patched,CN,CHINANET-SD,CN,,,False
